ts,tag,file,lb_score
2026-07-08T02:40:28,s07_risk_lgd25,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub07_risk_moderate.xlsx,
2026-07-08T02:41:28,s08_risk_lgd60,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub08_risk_strong.xlsx,
2026-07-08T03:33:49,s09_f5_primary,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub09_f5_primary.xlsx,
2026-07-08T07:43:16,s10_final_ensemble,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub10_final_ensemble.xlsx,
2026-07-09T15:24:14,s11_unrankable_low,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub11_unrankable_low.xlsx,
2026-07-09T15:29:23,s11_unrankable_low,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub11_unrankable_low.xlsx,
2026-07-09T21:50:21,s14_m028,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub14_m028.xlsx,
2026-07-09T21:50:47,s14_spend_light,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub14_spend_light.xlsx,
2026-07-09T22:30:16,s15_risk_up_15,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub15_risk_up_15.xlsx,
2026-07-09T22:30:46,s15_risk_up_25,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub15_risk_up_25.xlsx,
2026-07-09T22:31:25,s15_risk_dn_05,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub15_risk_dn_05.xlsx,
2026-07-09T22:31:50,s15_ben_heavy,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub15_ben_heavy.xlsx,
2026-07-09T22:42:59,s16_spend_018,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub16_spend_018.xlsx,
2026-07-09T22:43:25,s16_spend_012,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub16_spend_012.xlsx,
2026-07-09T22:43:54,s16_spend_008,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub16_spend_008.xlsx,
2026-07-09T22:53:32,s17_ben_cab_hi,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub17_ben_cab_hi.xlsx,
2026-07-09T22:54:04,s17_ben_equal,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub17_ben_equal.xlsx,
2026-07-09T22:54:33,s17_ben_credits_hi,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub17_ben_credits_hi.xlsx,
2026-07-09T23:01:23,s18_cab_60,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub18_cab_60.xlsx,
2026-07-09T23:01:48,s18_cab_80,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub18_cab_80.xlsx,
2026-07-09T23:02:17,s18_credits_hi,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub18_credits_hi.xlsx,
2026-07-09T23:02:44,s18_credits_0,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub18_credits_0.xlsx,
2026-07-09T23:18:06,s19_penalize_f2,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub19_penalize_f2.xlsx,
2026-07-09T23:18:35,s19_penalize_f2_hi,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub19_penalize_f2_hi.xlsx,
2026-07-09T23:19:00,s19_penalize_f20,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub19_penalize_f20.xlsx,
2026-07-09T23:19:27,s19_reward_tenure,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub19_reward_tenure.xlsx,
2026-07-09T23:28:58,s21_f6_low,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub21_f6_low.xlsx,
2026-07-09T23:29:25,s21_f6_high,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub21_f6_high.xlsx,
2026-07-09T23:29:49,s21_f7_high,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub21_f7_high.xlsx,
2026-07-09T23:30:22,s21_f7_low,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub21_f7_low.xlsx,
2026-07-09T23:30:59,s21_travel_discount,D:\sem_iitk\summer_3\amex\amex_r1_vscode_skeleton\amex_r1\outputs\submissions\sub21_travel_discount.xlsx,
